"ccode_1","ccode_2","year","ip_diff"
2,20,1950,0.216942
2,40,1950,1.267299
2,41,1950,0.9413123
2,42,1950,0.209555
2,70,1950,1.4499508
2,90,1950,1.1719779
2,91,1950,0.573515
2,92,1950,0.9841705
2,93,1950,0.469348
2,94,1950,0.178768
2,95,1950,0.620821
2,100,1950,0.541564
2,101,1950,0.812054
2,130,1950,0.8859194
2,135,1950,0.233833
2,140,1950,0.6928563
2,145,1950,0.372257
2,150,1950,0.289543
2,155,1950,0.7034478
2,160,1950,1.1136827
2,165,1950,1.3818339
2,200,1950,0.419028
2,210,1950,0.479135
2,211,1950,0.918103
2,212,1950,0.67042
2,220,1950,0.270649
2,290,1950,4.600366
2,315,1950,4.626366
2,345,1950,2.758935
2,350,1950,0.0608650000000002
2,365,1950,4.611863
2,369,1950,4.62484
2,370,1950,4.617714
2,380,1950,0.415538
2,385,1950,0.339638
2,390,1950,0.294267
2,395,1950,0.29389
2,450,1950,1.4079447
2,530,1950,1.1496896
2,560,1950,0.966821
2,630,1950,1.57438726
2,640,1950,0.332709
2,645,1950,1.611320797
2,651,1950,2.2520393
2,652,1950,2.2691773
2,660,1950,1.7764197
2,666,1950,1.2781544
2,670,1950,2.1102555
2,678,1950,2.1854556
2,700,1950,2.2394325
2,713,1950,0.8398235
2,750,1950,2.1743874
2,770,1950,1.64013031
2,775,1950,2.0870587
2,800,1950,0.536637
2,840,1950,1.2758683
2,850,1950,2.3250006
2,900,1950,0.356421
2,920,1950,0.05217
20,40,1950,1.484241
20,41,1950,1.1582543
20,42,1950,0.426497
20,70,1950,1.6668928
20,90,1950,1.3889199
20,91,1950,0.790457
20,92,1950,1.2011125
20,93,1950,0.68629
20,94,1950,0.39571
20,95,1950,0.837763
20,100,1950,0.758506
20,101,1950,1.028996
20,130,1950,1.1028614
20,135,1950,0.450775
20,140,1950,0.9097983
20,145,1950,0.589199
20,150,1950,0.506485
20,155,1950,0.9203898
20,160,1950,1.3306247
20,165,1950,1.5987759
20,200,1950,0.63597
20,210,1950,0.262193
20,211,1950,0.701161
20,212,1950,0.453478
20,220,1950,0.487591
20,290,1950,4.817308
20,315,1950,4.843308
20,345,1950,2.975877
20,350,1950,0.156077
20,365,1950,4.828805
20,369,1950,4.841782
20,370,1950,4.834656
20,380,1950,0.63248
20,385,1950,0.55658
20,390,1950,0.511209
20,395,1950,0.510832
20,450,1950,1.6248867
20,530,1950,1.3666316
20,560,1950,0.749879
20,630,1950,1.79132926
20,640,1950,0.549651
20,645,1950,1.828262797
20,651,1950,2.4689813
20,652,1950,2.4861193
20,660,1950,1.9933617
20,666,1950,1.4950964
20,670,1950,2.3271975
20,678,1950,2.4023976
20,700,1950,2.4563745
20,713,1950,1.0567655
20,750,1950,2.3913294
20,770,1950,1.85707231
20,775,1950,2.3040007
20,800,1950,0.753579
20,840,1950,1.4928103
20,850,1950,2.5419426
20,900,1950,0.573363
20,920,1950,0.164772
40,41,1950,0.3259867
40,42,1950,1.057744
40,70,1950,0.1826518
40,90,1950,0.0953211
40,91,1950,0.693784
40,92,1950,0.2831285
40,93,1950,0.797951
40,94,1950,1.088531
40,95,1950,0.646478
40,100,1950,0.725735
40,101,1950,0.455245
40,130,1950,0.3813796
40,135,1950,1.033466
40,140,1950,0.5744427
40,145,1950,0.895042
40,150,1950,0.977756
40,155,1950,0.5638512
40,160,1950,0.1536163
40,165,1950,0.1145349
40,200,1950,0.848271
40,210,1950,1.746434
40,211,1950,2.185402
40,212,1950,1.937719
40,220,1950,0.99665
40,290,1950,3.333067
40,315,1950,3.359067
40,345,1950,1.491636
40,350,1950,1.328164
40,365,1950,3.344564
40,369,1950,3.357541
40,370,1950,3.350415
40,380,1950,0.851761
40,385,1950,0.927661
40,390,1950,0.973032
40,395,1950,0.973409
40,450,1950,0.1406457
40,530,1950,0.1176094
40,560,1950,2.23412
40,630,1950,0.30708826
40,640,1950,0.93459
40,645,1950,0.344021797
40,651,1950,0.9847403
40,652,1950,1.0018783
40,660,1950,0.5091207
40,666,1950,0.0108554
40,670,1950,0.8429565
40,678,1950,0.9181566
