disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2
2,2.000999927520752,2,USA,200,UKG,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,1,184,184,7,7,0,49,49,0,0,0,0,0,0
2,2.000999927520752,2,USA,200,UKG,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,1,1,1,0,7,3,1,0,1,1,0,0,1,1,1,3,1,3,0,2,25,209,7,7,0,49,49,0,0,0,0,0,0
2,2.000999927520752,200,UKG,2,USA,1902,1,7,1902,24,1,1903,0,0,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,1,184,184,7,0,7,49,0,49,0,0,0,0,0
2,2.000999927520752,200,UKG,2,USA,1903,1,7,1902,24,1,1903,6,1,0,7,3,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7,3,1,3,1,3,1,0,2,25,209,7,0,7,49,0,49,0,0,0,0,0
3,3.000999927520752,300,AUH,345,YUG,1913,2,5,1913,25,10,1913,4,3,0,10,3,0,1,1,1,1,2,0,10,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,177,177,8,8,0,20,20,0,0,0,0,0,0
3,3.000999927520752,345,YUG,300,AUH,1913,2,5,1913,25,10,1913,3,3,0,10,3,0,1,1,0,0,0,0,0,1,1,1,1,2,0,10,3,1,3,1,3,1,0,1,177,177,8,0,8,20,0,20,0,0,0,0,0
4,4.000999927520752,200,UKG,339,ALB,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,0,0,0,2,8,3,1,1,0,0,0,19,4,1,3,1,3,1,0,1,183,183,16,7,16,65,49,65,0,0,0,0,0
4,4.000999927520752,339,ALB,200,UKG,1946,15,5,1946,13,11,1946,5,3,2,19,4,0,1,1,1,0,0,0,19,4,1,0,0,0,2,8,3,1,1,3,1,3,0,1,183,183,16,16,7,65,65,49,0,0,0,0,0
7,7.000999927520752,200,UKG,651,EGY,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,1,0,0,0,18,4,1,0,1,2,0,18,4,1,1,3,1,3,0,1,80,80,17,17,17,75,75,75,0,0,0,0,0
7,7.000999927520752,200,UKG,651,EGY,1952,13,10,1951,26,1,1952,1,3,2,18,4,1,1,1,1,0,0,1,18,4,1,0,1,2,2,18,4,1,1,3,1,3,0,2,27,107,17,17,17,75,75,75,0,0,0,0,0
7,7.000999927520752,651,EGY,200,UKG,1951,13,10,1951,26,1,1952,0,0,0,18,4,1,1,1,0,1,2,0,18,4,1,1,0,0,0,18,4,1,3,1,3,1,0,1,80,80,17,17,17,75,75,75,0,0,0,0,0
7,7.000999927520752,651,EGY,200,UKG,1952,13,10,1951,26,1,1952,2,3,2,18,4,1,1,1,0,1,2,2,18,4,1,1,0,0,1,18,4,1,3,1,3,1,0,2,27,107,17,17,17,75,75,75,0,0,0,0,0
8,8.00100040435791,200,UKG,630,IRN,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,1,1,2,0,22,5,1,0,0,0,0,22,5,1,1,3,1,3,1,1,184,184,20,20,20,100,100,100,0,0,1,0,0
8,8.00100040435791,200,UKG,630,IRN,1857,1,7,1856,5,4,1857,1,2,6,22,5,1,1,1,1,1,2,6,22,5,1,0,0,0,6,22,5,1,1,3,1,3,1,2,96,280,20,20,20,100,100,100,0,0,1,0,0
8,8.00100040435791,630,IRN,200,UKG,1856,1,7,1856,5,4,1857,0,0,0,22,5,1,1,1,0,0,0,0,22,5,1,1,1,2,0,22,5,1,3,1,3,1,1,1,184,184,20,20,20,100,100,100,0,0,1,0,0
8,8.00100040435791,630,IRN,200,UKG,1857,1,7,1856,5,4,1857,2,2,6,22,5,1,1,1,0,0,0,6,22,5,1,1,1,2,6,22,5,1,3,1,3,1,1,2,96,280,20,20,20,100,100,100,0,0,1,0,0
9,9.00100040435791,200,UKG,235,POR,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,1,3,3,7,7,0,49,49,0,0,0,0,0,0
9,9.00100040435791,200,UKG,235,POR,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,1,1,1,0,8,3,1,0,0,0,0,0,1,1,1,3,1,3,0,2,11,14,7,7,0,49,49,0,0,0,0,0,0
9,9.00100040435791,235,POR,200,UKG,1889,29,12,1889,10,1,1890,0,0,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,1,3,3,7,0,7,49,0,49,0,0,0,0,0
9,9.00100040435791,235,POR,200,UKG,1890,29,12,1889,10,1,1890,6,1,0,8,3,0,1,1,0,0,0,0,0,1,1,1,1,1,0,8,3,1,3,1,3,1,0,2,11,14,7,0,7,49,0,49,0,0,0,0,0
11,11.00100040435791,255,GMY,305,AUS,1938,11,3,1938,12,3,1938,4,1,0,16,4,0,1,1,1,1,1,0,16,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,2,2,14,14,0,84,84,0,0,0,0,0,0
11,11.00100040435791,305,AUS,255,GMY,1938,11,3,1938,12,3,1938,3,1,0,16,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,16,4,1,3,1,3,1,0,1,2,2,14,0,14,84,0,84,0,0,0,0,0
12,12.00100040435791,200,UKG,255,GMY,1938,26,8,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,8,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,36,36,16,7,16,65,49,65,0,0,0,0,0
12,12.00100040435791,255,GMY,200,UKG,1938,26,8,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,8,3,0,1,4,1,3,0,1,36,36,16,16,7,65,65,49,0,0,0,0,0
12,12.001999855041504,211,BEL,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,7,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,7,16,65,49,65,0,0,0,0,0
12,12.001999855041504,255,GMY,211,BEL,1938,7,9,1938,30,9,1938,4,1,0,19,4,0,1,5,1,1,1,0,19,4,1,0,0,0,0,7,3,0,1,4,1,3,0,1,24,24,16,16,7,65,65,49,0,0,0,0,0
12,12.003000259399414,220,FRN,255,GMY,1938,7,9,1938,30,9,1938,3,1,0,19,4,0,1,5,0,0,0,0,12,3,0,1,1,1,0,19,4,1,4,1,3,1,0,1,24,24,16,10,16,65,82,65,0,0,0,0,0
